#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-08-28T19:59:51 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-08-28T19:59:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/625/A17/table2&-source=J/A+A/625/A17/table2&-out=BJD&-out=RV&-out=e_RV&-out=FWHM&-out=BIS&-out=IHa&-out=logRHK&-out=zpoint&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36250017
#Name: J/A+A/625/A17
#Title: SOPHIE data of Gliese 411 (Diaz+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/625/a17	    IVOID of underlying data collection
#INFO	creator=Diaz R.F.	    First author or institution
#INFO	cites=bibcode:2019A&A...625A..17D	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/625/A17	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36250017	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-05-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_625_A17_table2:
#Name: J/A+A/625/A17/table2
#Title: SOPHIE observations of Gliese 411
#Column	BJD	(F14.6)	Barycentric Julian Date of observation	[ucd=time.epoch]
#Column	RV	(F8.4)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F7.4)	Uncertainty in radial velocity	[ucd=stat.error]
#Column	FWHM	(F6.3)	FWHM of cross-correlation function	[ucd=spect.line.width]
#Column	BIS	(F5.2)	Bisector velocity span of CCF	[ucd=phys.veloc]
#Column	IHa	(F6.3)	Activity proxy based on H{alpha} line flux	[ucd=spect.index]
#Column	logRHK	(F6.3)	? Activity proxy based on CaII H & K line fluxes (1)	[ucd=phot.flux;arith.ratio]
#Column	zpoint	(F6.3)	Instrument zero-point offset	[ucd=phot.mag;arith.zp]
BJD	RV	e_RV	FWHM	BIS	IHa	logRHK	zpoint
2457115.376211	-84.6130	 0.0012	 4.677	12.17	 0.336	-5.506	-2.840
2457120.427348	-84.6163	 0.0013	 4.674	12.67	 0.334	-5.387	-2.743
2457130.434956	-84.6121	 0.0014	 4.683	11.17	 0.334	-5.515	-5.348
2457383.675028	-84.6181	 0.0011	 4.661	10.17	 0.350	-5.780	-0.052
2457390.658102	-84.6152	 0.0016	 4.665	15.17	 0.347	-5.409	 0.680
2457404.651145	-84.6148	 0.0013	 4.670	11.17	 0.339	-5.563	-0.484
2457411.606238	-84.6113	 0.0011	 4.678	10.50	 0.344	-5.644	 1.438
2457419.616103	-84.6114	 0.0012	 4.673	12.00	 0.344	-5.548	 1.319
2457442.594165	-84.6128	 0.0014	 4.669	 9.00	 0.346	-5.564	 1.247
2457465.573574	-84.6098	 0.0012	 4.605	 8.83	 0.343	-5.532	 0.500
2457468.510161	-84.6112	 0.0013	 4.652	 8.50	 0.341	-5.536	 0.487
2457469.552618	-84.6102	 0.0011	 4.643	11.83	 0.339	-5.661	 0.588
2457471.563803	-84.6132	 0.0016	 4.644	 8.17	 0.335	-5.388	 0.743
2457474.469234	-84.6125	 0.0013	 4.662	 9.67	 0.340	-5.635	 0.257
2457728.678960	-84.6087	 0.0013	 4.654	 6.67	 0.357	-5.654	 0.685
2457730.686623	-84.6119	 0.0011	 4.642	 7.17	 0.351	-5.616	 0.691
2457731.648188	-84.6128	 0.0010	 4.646	 8.50	 0.356	-5.768	 0.805
2457733.622559	-84.6104	 0.0012	 4.631	 8.33	 0.350	-5.716	 0.867
2457734.689617	-84.6106	 0.0011	 4.646	 8.50	 0.349	-5.664	 0.999
2457739.579378	-84.6103	 0.0014	 4.629	 6.17	 0.360	-5.478	 1.204
2457740.613699	-84.6087	 0.0011	 4.645	 8.67	 0.356	-5.705	 1.607
2457757.711287	-84.6113	 0.0013	 4.631	11.17	 0.358	-5.750	 0.913
2457759.624863	-84.6125	 0.0011	 4.630	 7.17	 0.354	-5.760	 0.662
2457760.637613	-84.6090	 0.0011	 4.638	10.00	 0.355	-5.764	-0.305
2457762.596961	-84.6097	 0.0012	 4.630	11.00	 0.359	-5.662	-0.530
2457765.601307	-84.6106	 0.0013	 4.641	 7.83	 0.353	-5.659	-0.080
2457766.662352	-84.6104	 0.0012	 4.645	12.17	 0.363	-5.696	 0.182
2457770.690222	-84.6148	 0.0014	 4.638	 9.83	 0.362	-5.666	 0.300
2457771.646949	-84.6137	 0.0010	 4.643	 6.50	 0.358	-5.722	 0.442
2457772.612692	-84.6124	 0.0010	 4.653	10.00	 0.356	-5.759	 0.719
2457795.557725	-84.6120	 0.0014	 4.640	11.50	 0.350	-5.649	 1.172
2457800.549986	-84.6091	 0.0011	 4.642	 9.00	 0.348	-5.648	 1.128
2457801.537193	-84.6073	 0.0011	 4.640	 9.00	 0.342	-5.574	 1.318
2457814.518577	-84.6065	 0.0012	 4.647	 8.00	 0.354	-5.646	 1.050
2457817.595011	-84.6086	 0.0013	 4.639	 4.67	 0.355	-5.644	 1.047
2457820.543263	-84.6090	 0.0018	 4.638	 4.50	 0.361	-5.387	 0.627
2457821.481760	-84.6129	 0.0014	 4.648	10.17	 0.360	-5.569	 0.439
2457823.524984	-84.6131	 0.0011	 4.644	 5.50	 0.358	-5.769	 0.282
2457826.563496	-84.6107	 0.0012	 4.620	 9.17	 0.349	-5.605	 0.067
2457829.479870	-84.6090	 0.0010	 4.639	 8.00	 0.357	-5.660	 0.367
2457830.498861	-84.6095	 0.0011	 4.633	 8.50	 0.351	-5.661	 0.457
2457832.483763	-84.6088	 0.0011	 4.638	 9.83	 0.355	-5.745	 0.556
2457833.498167	-84.6111	 0.0015	 4.639	 8.33	 0.348	-5.545	 0.466
2457848.439467	-84.6091	 0.0012	 4.632	 4.00	 0.350	-5.627	-1.247
2457850.470838	-84.6098	 0.0011	 4.637	 8.17	 0.350	-5.693	 1.021
2457852.470366	-84.6072	 0.0010	 4.632	 9.50	 0.357	-5.742	-0.409
2457854.503048	-84.6064	 0.0011	 4.629	 9.50	 0.359	-5.719	 0.355
2457855.499487	-84.6065	 0.0011	 4.628	 5.50	 0.354	-5.730	 0.312
2457857.536977	-84.6082	 0.0011	 4.616	 7.50	 0.360	-5.697	 0.363
2457859.459310	-84.6099	 0.0017	 4.638	 6.83	 0.366	-5.482	 1.116
2457860.417147	-84.6101	 0.0014	 4.632	 9.83	 0.362	-5.600	 1.615
2457886.436209	-84.6136	 0.0013	 4.632	11.17	 0.368	-5.601	 0.552
2457888.414140	-84.6101	 0.0012	 4.623	 6.17	 0.364	-5.631	 0.213
2457889.434712	-84.6126	 0.0012	 4.630	 7.67	 0.368	-5.547	 0.444
2457891.419980	-84.6095	 0.0013	 4.625	 9.50	 0.368	-5.516	 1.083
2458129.684584	-84.6082	 0.0016	 4.637	 8.50	 0.334	-5.430	 0.000
2458130.679076	-84.6086	 0.0013	 4.639	 7.50	 0.337	-5.572	 0.047
2458131.681171	-84.6076	 0.0013	 4.631	13.67	 0.341	-5.463	 0.092
2458136.631485	-84.6087	 0.0013	 4.639	 8.00	 0.347	-5.575	-0.215
2458138.623772	-84.6088	 0.0014	 4.635	 7.67	 0.333	-5.516	-0.753
2458140.627211	-84.6087	 0.0012	 4.638	 9.67	 0.338	      	-1.423
2458141.648611	-84.6113	 0.0015	 4.638	 8.00	 0.319	      	-1.710
2458146.597205	-84.6147	 0.0012	 4.637	 9.17	 0.321	      	 0.220
2458147.621166	-84.6114	 0.0012	 4.638	 9.17	 0.333	      	 0.252
2458148.626849	-84.6127	 0.0013	 4.632	 9.00	 0.328	      	 1.170
2458151.706439	-84.6112	 0.0013	 4.621	 8.17	 0.346	-5.572	 1.993
2458181.496089	-84.6125	 0.0010	 4.653	 7.83	 0.335	      	-2.899
2458186.488885	-84.6154	 0.0010	 4.648	 9.33	 0.342	      	-2.247
2458216.464904	-84.6125	 0.0015	 4.646	 6.17	 0.319	      	 0.774
2458235.462667	-84.6036	 0.0015	 4.621	 9.83	 0.357	      	-0.153
2458236.397200	-84.6092	 0.0013	 4.623	11.50	 0.339	      	 0.018
2458241.506800	-84.6049	 0.0016	 4.568	 6.33	 0.333	      	-0.102
2458243.472298	-84.6133	 0.0051	 4.621	-3.33	 0.029	      	 0.044
2458245.475106	-84.6068	 0.0014	 4.593	 8.00	 0.346	      	 0.152
2458254.461528	-84.6105	 0.0015	 4.602	 6.50	 0.343	      	-0.761
2458255.371021	-84.6119	 0.0019	 4.623	 9.67	 0.333	      	-0.791
2458255.479009	-84.6110	 0.0014	 4.488	 4.00	 0.341	      	-0.787
2458258.351191	-84.6095	 0.0012	 4.619	 9.67	 0.349	      	-0.694
2458258.465266	-84.6100	 0.0014	 4.514	 2.83	 0.347	      	-0.704
2458262.349836	-84.6107	 0.0011	 4.626	 7.67	 0.347	      	-1.709
2458263.363717	-84.6114	 0.0011	 4.617	 7.50	 0.344	      	-0.767
2458263.479251	-84.6120	 0.0013	 4.451	 3.00	 0.347	      	-0.749
2458264.362241	-84.6115	 0.0014	 4.618	 7.67	 0.339	      	-0.161
2458265.351183	-84.6096	 0.0012	 4.621	 6.50	 0.349	      	 0.790
2458270.410016	-84.6098	 0.0011	 4.610	 9.00	 0.359	      	 1.034
2458271.391043	-84.6064	 0.0011	 4.617	 7.50	 0.353	      	 1.095
2458272.420283	-84.6110	 0.0013	 4.491	 3.17	 0.351	      	 1.101
2458275.407979	-84.6120	 0.0013	 4.529	 4.67	 0.341	      	 1.186

