mnvel	errvel	time	tel
-84618.049621582	0.90164	2458535.58135635	SOPHIE
-84617.7749633789	2.09247	2458834.66739502	SOPHIE
-84635.9939575195	1.0260099999999999	2458660.3665764	SOPHIE
-84628.8986206055	1.12737	2458658.36331182	SOPHIE
-84677.7801513672	1.04966	2454595.37524841	SOPHIE
-84630.7220458984	1.1921499999999998	2458661.36538018	SOPHIE
-84635.4064941406	1.05386	2458663.36476082	SOPHIE
-84633.2321166992	1.57704	2458664.36481693	SOPHIE
-84635.2081298828	1.75767	2458662.36435834	SOPHIE
-84629.1427612305	1.20075	2458659.36218353	SOPHIE
-84618.8659667969	1.50112	2458486.65948368	SOPHIE
-84622.1237182617	1.19567	2458546.53556316	SOPHIE
-84621.2463378906	1.1931100000000001	2458544.53287086	SOPHIE
-53739.3455505371	128.366	2458543.6011918	SOPHIE
-84625.5111694336	2.32195	2458905.36467146	SOPHIE
-84616.6305541992	0.9535830000000001	2458904.55975641	SOPHIE
-84618.4234619141	0.872386	2458904.62736028	SOPHIE
-84618.1564331055	1.30634	2458905.48114072	SOPHIE
-84623.4436035156	2.06195	2458906.41006996	SOPHIE
-84658.0657958984	1.49267	2454904.43378996	SOPHIE
-84631.0577392578	0.857926	2456072.38310771	SOPHIE
-84640.2893066406	2.01673	2454911.49345656	SOPHIE
-84661.1251831055	0.8386659999999999	2454927.53377541	SOPHIE
-84616.2490844727	1.23025	2458553.46115005	SOPHIE
-84620.0637817383	0.908626	2458551.58686694	SOPHIE
-84617.9885864258	1.08469	2458552.46946186	SOPHIE
-84618.766784668	1.0012	2458550.45010964	SOPHIE
-85044.2276000977	6917.16	4854951.4041670505	SOPHIE
-84524.543762207	3542.11	4854951.4041670505	SOPHIE
-84638.5803222656	1.08826	2456372.53271458	SOPHIE
-84615.7913208008	1.05529	2458877.6643256	SOPHIE
-84615.0970458984	0.825983	2458470.69482497	SOPHIE
-84637.20703125	1.05886	2456314.56576631	SOPHIE
-84656.73828125	1.1477600000000001	2455619.4886833	SOPHIE
-84638.8244628906	0.883264	2455879.70679237	SOPHIE
-84622.3373413086	1.4379	2458919.35697998	SOPHIE
-84634.4680786133	1.16097	2456319.63427693	SOPHIE
-84618.6828613281	1.01009	2458861.58845601	SOPHIE
-84618.7286376953	0.8835	2458860.58020255	SOPHIE
-84620.1019287109	1.03842	2458859.59639381	SOPHIE
-84615.5700683594	0.887104	2458825.66307658	SOPHIE
-84616.3864135742	1.29428	2458903.60002598	SOPHIE
-84617.4697875977	0.8915270000000001	2458903.42801254	SOPHIE
-84612.1063232422	1.09887	2458647.37832346	SOPHIE
-84659.1033935547	27.2212	2458873.66816097	SOPHIE
-84622.5128173828	0.8301740000000001	2458262.3498356	SOPHIE
-84620.4376220703	1.09763	2458501.68940641	SOPHIE
-84619.1024780273	1.09466	2458563.55349146	SOPHIE
-84626.2741088867	1.18887	2458264.36224144	SOPHIE
-84621.4370727539	0.8742300000000001	2458271.39104254	SOPHIE
-84632.9803466797	0.970671	2458272.42028287	SOPHIE
-84615.3030395508	1.13344	2458891.6005258	SOPHIE
-84637.7487182617	1.70059	2455968.52946387	SOPHIE
-84620.5596923828	0.963502	2458265.35118321	SOPHIE
-84664.2303466797	0.819343	2455579.635423	SOPHIE
-84618.3166503906	1.39951	2458619.42807214	SOPHIE
-84645.1644897461	2.2180400000000002	2454870.49803089	SOPHIE
-84620.30029296881	1.37992	2458620.41716494	SOPHIE
-84633.2321166992	1.36006	2458642.4281685	SOPHIE
-84625.7705688477	1.34677	2458642.37444618	SOPHIE
-84623.2604980469	1.48736	2458884.60352596	SOPHIE
-84616.51611328119	1.12436	2458885.54789051	SOPHIE
-84676.5213012695	0.6664289999999999	2455269.49523383	SOPHIE
-84626.3732910156	1.16382	2458245.4751061	SOPHIE
-84618.049621582	0.862797	2458887.52573796	SOPHIE
-84619.270324707	1.66688	2458887.571526	SOPHIE
-84659.4696044922	0.881083	2455563.62391732	SOPHIE
-84634.6435546875	0.898818	2455979.56031365	SOPHIE
-84634.5977783203	0.716762	2456354.52835687	SOPHIE
-84620.8572387695	1.9879899999999997	2458919.54823645	SOPHIE
-84632.8353881836	1.2063	2455865.67782437	SOPHIE
-84632.5378417969	1.05721	2456416.41903675	SOPHIE
-84627.9754638672	0.9027590000000001	2458657.3682947	SOPHIE
-84617.2561645508	1.09842	2458864.54230243	SOPHIE
-84657.1502685547	0.9365410000000001	2455584.67185626	SOPHIE
-84615.2572631836	1.14547	2458526.61240309	SOPHIE
-84613.3728027344	1.07015	2458472.64478656	SOPHIE
-84621.1395263672	0.924579	2458258.35119061	SOPHIE
-84619.499206543	0.899143	2458533.64967224	SOPHIE
-84617.1112060547	0.744271	2458535.45011771	SOPHIE
-84628.2119750977	1.24754	2458535.36171477	SOPHIE
-84619.0719604492	1.17268	2458882.58634001	SOPHIE
-84617.0196533203	0.916164	2458534.52046264	SOPHIE
-84630.1956176758	1.09859	2458534.37371447	SOPHIE
-84621.2844848633	0.91267	2458533.54488009	SOPHIE
-84622.7722167969	2.04596	2458488.53049006	SOPHIE
-84616.0125732422	1.42447	2458488.71083773	SOPHIE
-84635.2615356445	1.04423	2458275.40797928	SOPHIE
-84623.2147216797	1.21517	2456042.4306038	SOPHIE
-85024.3377685547	8519.51	4856405.46610999	SOPHIE
-84636.8942260742	0.8798779999999999	2456405.46610999	SOPHIE
-84617.9656982422	0.722938	2458531.61209037	SOPHIE
-84618.0725097656	0.795244	2458530.58599372	SOPHIE
-84626.8997192383	1.00738	2458654.36702182	SOPHIE
-84631.5383911133	0.882751	2458653.3755256	SOPHIE
-84615.3030395508	0.943474	2458529.62525495	SOPHIE
-55602.4322509766	249.978	2458641.39904249	SOPHIE
-84636.6424560547	0.865232	2456419.43899381	SOPHIE
-84629.280090332	0.8688450000000001	2456016.45652173	SOPHIE
-84616.6076660156	1.3155599999999998	2458893.60291556	SOPHIE
-84631.7138671875	1.0518100000000001	2456382.39345377	SOPHIE
-84634.8419189453	4.77983	2458243.47229825	SOPHIE
-84635.8795166016	0.828028	2456349.49941823	SOPHIE
-84639.46533203119	1.45163	2455929.62107756	SOPHIE
-84619.8425292969	0.839172	2458644.3753315	SOPHIE
-84618.9041137695	2.8306899999999997	2458643.36490684	SOPHIE
-84630.1116943359	1.14567	2456081.37857902	SOPHIE
-84643.1884765625	0.9939040000000001	2455875.66989003	SOPHIE
-84632.7819824219	1.03114	2456733.51740365	SOPHIE
-84630.67626953119	1.27768	2457079.42962824	SOPHIE
-84643.2876586914	1.20828	2456710.51241059	SOPHIE
-84624.8779296875	1.11659	2458131.68117101	SOPHIE
-84621.2463378906	1.0150000000000001	2458136.63148546	SOPHIE
-84622.3907470703	1.1053300000000001	2458130.67907599	SOPHIE
-84621.2158203125	1.2031699999999999	2458138.62377201	SOPHIE
-84622.184753418	1.2559699999999998	2458141.64861131	SOPHIE
-84619.5602416992	1.0423	2458151.70643946	SOPHIE
-84624.1836547852	0.9690840000000001	2458147.62116588	SOPHIE
-84631.8359375	1.10925	2456682.65025415	SOPHIE
-84625.4348754883	1.1123299999999998	2458148.62684943	SOPHIE
-84626.9454956055	1.02098	2458146.59720474	SOPHIE
-84622.0169067383	0.938419	2458140.62721118	SOPHIE
-84625.4425048828	1.44568	2458129.68458441	SOPHIE
-84632.080078125	1.0745500000000001	2457113.49316624	SOPHIE
-84626.7852783203	1.0512	2457891.41997994	SOPHIE
-84628.303527832	0.8845959999999999	2457889.43471199	SOPHIE
-84628.059387207	0.9324309999999999	2457888.41414034	SOPHIE
-84629.7302246094	1.00007	2457886.43620853	SOPHIE
-84625.4806518555	1.2139600000000002	2457860.41714717	SOPHIE
-84623.7869262695	1.54181	2457859.45930956	SOPHIE
-84625.0991821289	0.860951	2457857.53697724	SOPHIE
-84623.6343383789	0.766173	2457855.49948708	SOPHIE
-84622.4746704102	0.8175209999999999	2457854.50304808	SOPHIE
-84624.7253417969	0.715969	2457852.4703664	SOPHIE
-84626.0070800781	0.775431	2457850.47083817	SOPHIE
-84627.2888183594	0.96722	2457848.4394673	SOPHIE
-84629.6081542969	1.2113200000000002	2457821.48175968	SOPHIE
-84624.0386962891	0.973722	2457814.51857723	SOPHIE
-84628.2806396484	1.6656900000000001	2457820.54326261	SOPHIE
-84632.0419311523	1.26283	2457833.49816729	SOPHIE
-84623.1231689453	0.872022	2457832.48376327	SOPHIE
-84623.0697631836	1.07764	2457817.59501127	SOPHIE
-84627.067565918	0.8505280000000001	2457830.49886143	SOPHIE
-84629.3487548828	0.7656499999999999	2457823.52498399	SOPHIE
-84623.9852905273	0.751679	2457829.47987005	SOPHIE
-84627.9983520508	0.9021279999999999	2457826.56349626	SOPHIE
-84625.4806518555	0.840878	2457801.53719308	SOPHIE
-84626.220703125	0.78035	2457800.5499863	SOPHIE
-84629.3411254883	1.1385	2457795.55772531	SOPHIE
-84628.8909912109	0.67298	2457772.61269189	SOPHIE
-84629.0817260742	0.777729	2457771.64694912	SOPHIE
-84630.241394043	1.14817	2457770.69022182	SOPHIE
-84641.54052734381	1.36397	2456708.52824161	SOPHIE
-84626.9226074219	0.9806140000000001	2457766.6623522	SOPHIE
-84628.60107421881	1.04309	2457765.60130736	SOPHIE
-84641.8914794922	1.4182400000000002	2456699.57792415	SOPHIE
-84627.1591186523	0.918337	2457762.59696065	SOPHIE
-84635.4904174805	1.5801800000000001	2456678.68102767	SOPHIE
-84627.8305053711	0.906309	2457760.63761312	SOPHIE
-84636.116027832	0.9959280000000001	2456667.61151818	SOPHIE
-84631.5460205078	0.886521	2457759.62486269	SOPHIE
-84639.045715332	1.55182	2456672.67256258	SOPHIE
-84630.6076049805	0.995962	2457757.7112873	SOPHIE
-84623.9395141602	0.849335	2457740.61369882	SOPHIE
-84631.0195922852	1.20428	2457739.579378	SOPHIE
-84644.905090332	1.0523399999999998	2456711.50475899	SOPHIE
-84632.5378417969	1.0632300000000001	2456731.36739421	SOPHIE
-84634.4680786133	0.779342	2456742.42392628	SOPHIE
-84628.4332275391	0.875653	2457734.68961732	SOPHIE
-84629.9514770508	0.9858399999999999	2457733.62255885	SOPHIE
-84637.2375488281	1.00227	2456757.46707946	SOPHIE
-84631.2255859375	0.657782	2457731.64818795	SOPHIE
-84629.3716430664	0.7793779999999999	2457730.68662331	SOPHIE
-54989.307403564504	52.218199999999996	2457728.65693274	SOPHIE
-84623.9013671875	1.0508600000000001	2457728.67896013	SOPHIE
-84630.4931640625	1.02451	2456793.35762129	SOPHIE
-84635.986328125	1.11992	2456794.42647562	SOPHIE
-84637.1307373047	0.89492	2456730.39818824	SOPHIE
-84634.7503662109	1.0661	2456752.4457682	SOPHIE
-84638.5879516602	1.00457	2456777.45158243	SOPHIE
-84631.4315795898	1.2277099999999999	2456740.49299565	SOPHIE
-84630.5160522461	0.961824	2457465.573574	SOPHIE
-84637.0010375977	1.1621400000000002	2457030.55554755	SOPHIE
-84632.453918457	0.962633	2457040.67781907	SOPHIE
-84626.4266967773	0.937739	2457115.37621072	SOPHIE
-84631.3400268555	0.916968	2457071.58735976	SOPHIE
-84635.7116699219	2.10446	2457105.47467058	SOPHIE
-84628.5629272461	1.04754	2457120.42734802	SOPHIE
-84634.9334716797	1.1994200000000002	2457094.41432057	SOPHIE
-84632.7133178711	0.841208	2457090.54249891	SOPHIE
-84635.2005004883	1.05926	2457088.61137137	SOPHIE
-84631.0882568359	0.680356	2457065.49934239	SOPHIE
-84650.9780883789	4.0730699999999995	2457081.50751735	SOPHIE
-84630.6915283203	0.872968	2457063.52822082	SOPHIE
-84626.4266967773	1.04033	2457474.46923404	SOPHIE
-84630.31005859381	1.4092200000000001	2457471.56380294	SOPHIE
-84627.6931762695	0.886336	2457469.55261758	SOPHIE
-84626.7547607422	1.05156	2457468.51016098	SOPHIE
-84633.5067749023	1.00829	2457035.55014393	SOPHIE
-84630.2642822266	1.08326	2457404.65114527	SOPHIE
-84630.2642822266	1.08326	2457404.65114527	SOPHIE
-84633.9263916016	1.10588	2457110.43854538	SOPHIE
-84628.7689208984	0.993336	2457419.61610295	SOPHIE
-84628.7689208984	0.993336	2457419.61610295	SOPHIE
-84636.8179321289	1.29881	2457033.56118437	SOPHIE
-84627.7008056641	1.14092	2457442.59416523	SOPHIE
-84627.7008056641	1.14092	2457442.59416523	SOPHIE
-84619.7891235352	0.841941	2457411.60623804	SOPHIE
-84619.7891235352	0.841941	2457411.60623804	SOPHIE
-84624.382019043	1.17058	2457130.43495557	SOPHIE
-84629.82177734381	0.8463639999999999	2457383.67502797	SOPHIE
-84629.82177734381	0.8463639999999999	2457383.67502797	SOPHIE
-84632.4081420898	1.40102	2457390.6581016	SOPHIE
-84632.4081420898	1.40102	2457390.6581016	SOPHIE
-84632.926940918	1.2385199999999998	2457053.50947577	SOPHIE
-84645.149230957	1.5746600000000002	2457702.69181997	SOPHIE
-84700.0	100.0	2459642.0	SOPHIE
-84700.0	100.0	2459713.0	SOPHIE
-84700.0	100.0	2459720.0	SOPHIE
-84700.0	100.0	2459710.0	SOPHIE
-84700.0	100.0	2459918.0	SOPHIE
-84700.0	100.0	2459560.0	SOPHIE
-84700.0	100.0	2460454.0	SOPHIE
-84700.0	100.0	2460457.0	SOPHIE
-84700.0	100.0	2460452.0	SOPHIE
-84700.0	100.0	2460449.0	SOPHIE
-84700.0	100.0	2460285.0	SOPHIE
-84700.0	100.0	2460312.0	SOPHIE
-84700.0	100.0	2460321.0	SOPHIE
-84700.0	100.0	2460330.0	SOPHIE
-84700.0	100.0	2460324.0	SOPHIE
-84700.0	100.0	2459974.0	SOPHIE
-84700.0	100.0	2460313.0	SOPHIE
-84700.0	100.0	2460316.0	SOPHIE
-84700.0	100.0	2460300.0	SOPHIE
-84700.0	100.0	2459707.0	SOPHIE
-84700.0	100.0	2459273.0	SOPHIE
-84700.0	100.0	2459277.0	SOPHIE
-84700.0	100.0	2459279.0	SOPHIE
-84700.0	100.0	2459275.0	SOPHIE
-84700.0	100.0	2459271.0	SOPHIE
-84700.0	100.0	2460472.0	SOPHIE
-84700.0	100.0	2460474.0	SOPHIE
-84700.0	100.0	2460475.0	SOPHIE
-84700.0	100.0	2459298.0	SOPHIE
-84700.0	100.0	2459301.0	SOPHIE
-84700.0	100.0	2459299.0	SOPHIE
-84700.0	100.0	2459346.0	SOPHIE
-84700.0	100.0	2459352.0	SOPHIE
-84700.0	100.0	2459351.0	SOPHIE
-84700.0	100.0	2459343.0	SOPHIE
-84700.0	100.0	2459360.0	SOPHIE
-84700.0	100.0	2459365.0	SOPHIE
-84700.0	100.0	2459372.0	SOPHIE
-84700.0	100.0	2459606.0	SOPHIE
-84700.0	100.0	2459305.0	SOPHIE
-84700.0	100.0	2459304.0	SOPHIE
-84700.0	100.0	2459921.0	SOPHIE
-84700.0	100.0	2460297.0	SOPHIE
-84700.0	100.0	2460288.0	SOPHIE
-84700.0	100.0	2460287.0	SOPHIE
-84700.0	100.0	2460277.0	SOPHIE
-84700.0	100.0	2460280.0	SOPHIE
-84700.0	100.0	2460274.0	SOPHIE
-84700.0	100.0	2460066.0	SOPHIE
-84700.0	100.0	2459593.0	SOPHIE
-84700.0	100.0	2459959.0	SOPHIE
-84700.0	100.0	2459955.0	SOPHIE
-84700.0	100.0	2459956.0	SOPHIE
-84700.0	100.0	2460073.0	SOPHIE
-84700.0	100.0	2459337.0	SOPHIE
-84700.0	100.0	2459327.0	SOPHIE
-84700.0	100.0	2459266.0	SOPHIE
-84700.0	100.0	2460013.0	SOPHIE
-84700.0	100.0	2460397.0	SOPHIE
-84700.0	100.0	2460385.0	SOPHIE
-84700.0	100.0	2460383.0	SOPHIE
-84700.0	100.0	2459628.0	SOPHIE
-84700.0	100.0	2459242.0	SOPHIE
-84700.0	100.0	2459248.0	SOPHIE
-84700.0	100.0	2460421.0	SOPHIE
-84700.0	100.0	2460418.0	SOPHIE
-84700.0	100.0	2459237.0	SOPHIE
-84700.0	100.0	2460096.0	SOPHIE
-84700.0	100.0	2460459.0	SOPHIE
-84700.0	100.0	2460369.0	SOPHIE
-84700.0	100.0	2460356.0	SOPHIE
-84700.0	100.0	2460392.0	SOPHIE
-84700.0	100.0	2460388.0	SOPHIE
-84700.0	100.0	2459741.0	SOPHIE
-84700.0	100.0	2459727.0	SOPHIE
-84700.0	100.0	2460441.0	SOPHIE
-84700.0	100.0	2460438.0	SOPHIE
-84700.0	100.0	2459602.0	SOPHIE
-84700.0	100.0	2459597.0	SOPHIE
-84700.0	100.0	2459716.0	SOPHIE
-84700.0	100.0	2460488.0	SOPHIE
-84700.0	100.0	2460069.0	SOPHIE
-84700.0	100.0	2460365.0	SOPHIE
-84700.0	100.0	2460354.0	SOPHIE
-84700.0	100.0	2460351.0	SOPHIE
-84700.0	100.0	2460339.0	SOPHIE
-84700.0	100.0	2459753.0	SOPHIE
-84700.0	100.0	2459749.0	SOPHIE
-84700.0	100.0	2459634.0	SOPHIE
-84700.0	100.0	2459590.0	SOPHIE
-84700.0	100.0	2460007.0	SOPHIE
-84700.0	100.0	2459684.0	SOPHIE
-84700.0	100.0	2459745.0	SOPHIE
-84700.0	100.0	2460113.0	SOPHIE
-84700.0	100.0	2460112.0	SOPHIE
-84700.0	100.0	2459972.0	SOPHIE
-54600.0	100.0	2460270.0	SOPHIE
-84700.0	100.0	2459978.0	SOPHIE
-84700.0	100.0	2460376.0	SOPHIE
-84700.0	100.0	2460262.0	SOPHIE
-84700.0	100.0	2460490.0	SOPHIE
-84700.0	100.0	2460294.0	SOPHIE
-84700.0	100.0	2460492.0	SOPHIE
-84700.0	100.0	2460477.0	SOPHIE
-84700.0	100.0	2459620.0	SOPHIE
-84700.0	100.0	2459658.0	SOPHIE
-53900.0	100.0	2459914.0	SOPHIE
-84700.0	100.0	2460341.0	SOPHIE
-84700.0	100.0	2459566.0	SOPHIE
-84700.0	100.0	2459570.0	SOPHIE
-84700.0	100.0	2459975.0	SOPHIE
-84700.0	100.0	2459989.0	SOPHIE
-84700.0	100.0	2459990.0	SOPHIE
-84700.0	100.0	2459983.0	SOPHIE
-84700.0	100.0	2460334.0	SOPHIE
-84700.0	100.0	2460337.0	SOPHIE
-84700.0	100.0	2459244.0	SOPHIE
-84700.0	100.0	2460464.0	SOPHIE
-52700.0	100.0	2460037.0	SOPHIE
-84700.0	100.0	2459736.0	SOPHIE
-84700.0	100.0	2460045.0	SOPHIE
-84700.0	100.0	2460044.0	SOPHIE
-84700.0	100.0	2460042.0	SOPHIE
-84700.0	100.0	2459264.0	SOPHIE
-84700.0	100.0	2460087.0	SOPHIE
-84700.0	100.0	2460091.0	SOPHIE
-84700.0	100.0	2459379.0	SOPHIE
-84700.0	100.0	2459925.0	SOPHIE
-84619.4229125977	1.3467900000000002	2458645.3779216	SOPHIE
-84631.0958862305	1.93787	2456058.41544069	SOPHIE
-84624.7329711914	0.910956	2458441.64379263	SOPHIE
-84622.184753418	1.09734	2458440.69160153	SOPHIE
-84620.9945678711	1.03782	2458456.71608408	SOPHIE
-84617.1569824219	0.924358	2458497.55664912	SOPHIE
-84624.8321533203	1.38859	2456026.40464654	SOPHIE
-85040.3823852539	1.33026	2454505.52960234	SOPHIE
-10.21	16.81126	2446958.709	Hamilton
-1.48	24.197487	2447194.925	Hamilton
-15.98	15.527621	2447224.7499	Hamilton
-1.56	10.841738	2447578.8053	Hamilton
-10.33	10.362383	2448019.7205	Hamilton
-12.74	12.074193	2448376.7367	Hamilton
-30.11	12.761474	2448646.0892	Hamilton
-19.46	11.653231	2448648.9893	Hamilton
-18.83	10.959923	2448992.0724	Hamilton
-10.73	11.177791	2449173.6811	Hamilton
-13.56	20.19961	2449349.0787	Hamilton
-9.97	13.745576	2449349.924	Hamilton
-2.58	17.478392	2449464.7538	Hamilton
-21.16	9.579905	2449469.7153	Hamilton
-3.58	6.046141	2449769.9416	Hamilton
-2.59	4.676541	2449793.886719	Hamilton
-6.1	5.083344	2450088.981445	Hamilton
-5.81	6.48515	2450144.890625	Hamilton
-0.44	4.823196	2450179.711914	Hamilton
1.22	4.456698	2450180.726562	Hamilton
9.55	4.809534	2450181.75293	Hamilton
-2.15	4.800473	2450422.071289	Hamilton
-9.78	5.130477	2450422.084961	Hamilton
-3.79	4.906944	2450438.012695	Hamilton
0.34	4.854412	2450438.027344	Hamilton
4.21	4.838872	2450442.041016	Hamilton
5.26	5.767802	2450442.054688	Hamilton
6.78	5.695905	2450502.869141	Hamilton
12.66	6.411454	2450502.884766	Hamilton
-0.51	5.182394	2450504.875977	Hamilton
1.66	4.484371	2450504.891602	Hamilton
1.62	4.820169	2450610.689931	Hamilton
-7.76	4.152323	2450610.714844	Hamilton
-12.23	6.240824	2450614.717773	Hamilton
4.29	5.350396	2450645.683594	Hamilton
1.0	5.968131	2450645.699219	Hamilton
-8.74	4.59729	2450793.969727	Hamilton
-10.14	8.868004	2451155.066406	Hamilton
7.17	6.741476	2451242.853516	Hamilton
-2.18	5.410375	2451303.720703	Hamilton
3.47	6.398344	2451536.985352	Hamilton
1.49	8.275922	2451540.054688	Hamilton
-1.56	6.73364	2451914.060547	Hamilton
-1.74	4.996931	2452299.896484	Hamilton
-2.88	4.750071	2452299.916016	Hamilton
9.39	6.074619	2452333.957031	Hamilton
7.45	13.673123	2452334.859375	Hamilton
-11.42	6.026245	2452427.71875	Hamilton
-8.43	6.922401	2452427.732422	Hamilton
-3.15	5.173759	2452429.745117	Hamilton
4.85	5.802745	2452687.956055	Hamilton
3.93	5.30802	2452687.978516	Hamilton
-4.68	5.037627	2453010.058594	Hamilton
0.44	5.491426	2453069.841797	Hamilton
-2.45	4.413745	2453155.714844	Hamilton
7.97	4.631279	2453389.937604	Hamilton
4.34	4.841044	2453390.957766	Hamilton
0.31	4.449086	2453392.008519	Hamilton
8.84	4.455024	2453392.933947	Hamilton
0.54	5.107876	2454100.077431	Hamilton
8.17	4.815998	2454104.035729	Hamilton
-10.12	4.771793	2454134.94037	Hamilton
1.37	5.006008	2454548.842778	Hamilton
-14.0	5.624241	2454864.926343	Hamilton
-4.95	0.714708	2450602.911331	HIRES-pre
-7.14	0.824232	2450603.863264	HIRES-pre
0.54	0.768716	2450604.797419	HIRES-pre
