HD,_tab2_2,RVel,e_RVel,Inst,SHK,e_SHK,EWHa,e_EWHa,File
HD160691,2453399.24746,-20.64,1.18,UCLES,,,0.7341,0.00170,ru72.99
HD160691,2453399.25163,-20.42,1.14,UCLES,,,0.7334,0.00170,ru72.100
HD160691,2453399.25582,-15.61,1.18,UCLES,,,0.7351,0.00170,ru72.101
HD160691,2453399.26001,-18.98,1.10,UCLES,,,0.7361,0.00160,ru72.102
HD160691,2453399.26419,-17.36,1.14,UCLES,,,0.7341,0.00160,ru72.103
HD160691,2453400.24109,-20.70,1.84,UCLES,,,0.7328,0.00320,ru72.300
HD160691,2453400.24528,-15.21,1.71,UCLES,,,0.7318,0.00290,ru72.301
HD160691,2453401.24067,-19.43,1.92,UCLES,,,0.7334,0.00320,ru72.486
HD160691,2453401.24484,-14.15,1.88,UCLES,,,0.7300,0.00330,ru72.487
HD160691,2453401.24902,-13.91,1.81,UCLES,,,0.7294,0.00290,ru72.488
HD160691,2453401.25321,-15.73,1.75,UCLES,,,0.7337,0.00280,ru72.489
HD160691,2453401.25739,-17.16,1.61,UCLES,,,0.7317,0.00280,ru72.490
HD160691,2453401.26157,-12.40,1.66,UCLES,,,0.7290,0.00270,ru72.491
HD160691,2453401.26575,-16.65,1.80,UCLES,,,0.7313,0.00300,ru72.492
HD160691,2453402.24691,-10.27,1.36,UCLES,,,0.7325,0.00220,ru72.671
HD160691,2453402.25109,-16.90,1.36,UCLES,,,0.7328,0.00210,ru72.672
HD160691,2453402.25526,-13.41,1.34,UCLES,,,0.7319,0.00230,ru72.673
HD160691,2453402.25944,-13.92,1.50,UCLES,,,,,ru72.674
HD160691,2453402.26363,-18.85,1.41,UCLES,,,0.7323,0.00230,ru72.675
HD160691,2453402.26781,-17.55,1.62,UCLES,,,0.7326,0.00270,ru72.676
HD160691,2453402.27114,-13.48,2.41,UCLES,,,0.7326,0.00430,ru72.677
HD160691,2453403.25093,-18.33,2.08,UCLES,,,0.7316,0.00380,ru72.864
HD160691,2453403.25511,-25.22,2.19,UCLES,,,0.7319,0.00370,ru72.865
HD160691,2453403.25930,-12.27,2.13,UCLES,,,0.7313,0.00380,ru72.866
HD160691,2453403.26349,-18.04,1.80,UCLES,,,0.7321,0.00280,ru72.867
HD160691,2453403.26768,-15.93,1.83,UCLES,,,0.7315,0.00320,ru72.868
HD160691,2453403.27187,-17.89,1.99,UCLES,,,0.7303,0.00360,ru72.869
HD160691,2453404.24538,-16.13,1.42,UCLES,,,0.7324,0.00250,ru72.1078
HD160691,2453404.24957,-18.23,1.47,UCLES,,,0.7299,0.00250,ru72.1079
HD160691,2453404.25376,-19.16,1.55,UCLES,,,0.7306,0.00260,ru72.1080
HD160691,2453404.25794,-18.94,1.52,UCLES,,,0.7315,0.00260,ru72.1081
HD160691,2453404.26213,-20.17,1.48,UCLES,,,0.7303,0.00260,ru72.1082
HD160691,2453404.26630,-18.53,1.49,UCLES,,,,,ru72.1083
HD160691,2453404.27050,-14.55,1.85,UCLES,,,0.7282,0.00300,ru72.1084
HD160691,2453404.27469,-19.48,1.80,UCLES,,,0.7288,0.00300,ru72.1085
HD160691,2453405.24635,-13.79,1.31,UCLES,,,0.7329,0.00250,ru72.1288
HD160691,2453405.24880,-19.11,1.39,UCLES,,,0.7337,0.00240,ru72.1289
HD160691,2453405.25124,-15.05,1.34,UCLES,,,0.7327,0.00240,ru72.1290
HD160691,2453405.25456,-18.44,1.07,UCLES,,,0.7344,0.00170,ru72.1291
HD160691,2453405.25875,-16.73,0.99,UCLES,,,0.7352,0.00160,ru72.1292
HD160691,2453405.26293,-15.15,1.08,UCLES,,,0.7350,0.00170,ru72.1293
HD160691,2453405.26711,-18.16,0.99,UCLES,,,0.7359,0.00170,ru72.1294
HD160691,2453405.27132,-14.08,1.06,UCLES,,,0.7358,0.00170,ru72.1295
HD160691,2453405.27550,-17.63,1.11,UCLES,,,0.7350,0.00160,ru72.1296
HD160691,2453483.05461,15.73,1.11,UCLES,,,0.7354,0.00170,ru73.49
HD160691,2453483.05883,14.95,1.06,UCLES,,,0.7376,0.00160,ru73.50
HD160691,2453483.06306,17.15,1.10,UCLES,,,0.7359,0.00170,ru73.51
HD160691,2453483.06730,12.83,1.05,UCLES,,,0.7363,0.00160,ru73.52
HD160691,2453483.32058,15.55,1.04,UCLES,,,0.7354,0.00150,ru73.105
HD160691,2453483.32480,13.14,0.98,UCLES,,,0.7349,0.00160,ru73.106
HD160691,2453483.32903,14.64,1.00,UCLES,,,0.7369,0.00160,ru73.107
HD160691,2453483.33325,12.76,1.03,UCLES,,,,,ru73.108
HD160691,2453484.05380,17.54,1.07,UCLES,,,0.7355,0.00160,ru73.191
HD160691,2453484.05804,14.71,1.02,UCLES,,,0.7393,0.00150,ru73.192
HD160691,2453484.06226,13.06,0.93,UCLES,,,0.7371,0.00160,ru73.193
HD160691,2453484.06649,13.64,0.91,UCLES,,,0.7372,0.00160,ru73.194
HD160691,2453485.03512,20.90,0.98,UCLES,,,0.7393,0.00150,ru73.325
HD160691,2453485.03936,16.22,1.03,UCLES,,,0.7391,0.00150,ru73.326
HD160691,2453485.04359,20.42,0.96,UCLES,,,0.7387,0.00150,ru73.327
HD160691,2453485.04784,18.74,1.01,UCLES,,,0.7381,0.00150,ru73.328
HD160691,2453485.18275,19.51,0.90,UCLES,,,0.7378,0.00140,ru73.357
HD160691,2453485.18698,18.34,0.90,UCLES,,,,,ru73.358
HD160691,2453485.19122,18.84,0.94,UCLES,,,0.7392,0.00130,ru73.359
HD160691,2453485.19547,18.98,0.93,UCLES,,,0.7391,0.00130,ru73.360
HD160691,2453485.19970,17.14,0.89,UCLES,,,0.7386,0.00130,ru73.361
HD160691,2453486.08985,25.43,2.60,UCLES,,,0.7253,0.00520,ru73.480
HD160691,2453486.10663,19.26,1.15,UCLES,,,0.7378,0.00200,ru73.481
HD160691,2453486.10971,19.76,1.05,UCLES,,,0.7370,0.00190,ru73.482
HD160691,2453486.11279,19.33,1.07,UCLES,,,0.7356,0.00180,ru73.483
HD160691,2453486.11587,17.65,1.12,UCLES,,,0.7368,0.00180,ru73.484
HD160691,2453487.13633,18.19,1.07,UCLES,,,,,ru73.663
HD160691,2453487.13940,19.86,1.13,UCLES,,,0.7323,0.00200,ru73.664
HD160691,2453487.14248,15.72,1.00,UCLES,,,0.7331,0.00200,ru73.665
HD160691,2453487.14554,19.34,1.12,UCLES,,,0.7336,0.00210,ru73.666
HD160691,2453488.22099,19.39,1.24,UCLES,,,0.7359,0.00220,ru73.928
HD160691,2453488.22713,19.03,1.27,UCLES,,,0.7332,0.00230,ru73.930
HD160691,2453488.23079,17.66,1.15,UCLES,,,0.7338,0.00200,ru73.931
HD160691,2453489.12225,16.60,0.95,UCLES,,,0.7366,0.00170,ru73.1206
HD160691,2453489.12533,18.60,1.03,UCLES,,,0.7349,0.00170,ru73.1207
HD160691,2453489.12841,16.31,0.97,UCLES,,,0.7346,0.00180,ru73.1208
HD160691,2453489.13148,19.46,1.01,UCLES,,,0.7381,0.00170,ru73.1209
HD160691,2453489.32303,18.66,1.04,UCLES,,,0.7361,0.00180,ru73.1246
HD160691,2453489.32610,20.37,1.05,UCLES,,,,,ru73.1247
HD160691,2453489.32917,19.29,0.98,UCLES,,,,,ru73.1248
HD160691,2453489.33224,22.31,1.01,UCLES,,,0.7351,0.00180,ru73.1249
HD160691,2453489.33665,20.64,0.95,UCLES,,,0.7343,0.00180,ru73.1250
HD160691,2453506.97219,21.87,1.34,UCLES,,,0.7325,0.00230,ru74.42
HD160691,2453506.97525,22.30,1.44,UCLES,,,0.7308,0.00240,ru74.43
HD160691,2453506.97832,22.33,1.59,UCLES,,,0.7332,0.00280,ru74.44
HD160691,2453506.98139,21.51,1.36,UCLES,,,,,ru74.45
HD160691,2453507.32832,20.75,1.56,UCLES,,,0.7300,0.00270,ru74.110
HD160691,2453507.33139,17.46,1.41,UCLES,,,0.7307,0.00260,ru74.111
HD160691,2453507.33447,20.57,1.44,UCLES,,,0.7311,0.00250,ru74.112
HD160691,2453507.33753,15.33,1.44,UCLES,,,,,ru74.113
HD160691,2453508.13849,22.97,1.27,UCLES,,,0.7308,0.00250,ru74.240
HD160691,2453508.14271,12.84,1.47,UCLES,,,0.7308,0.00300,ru74.241
HD160691,2453508.14694,18.33,1.68,UCLES,,,0.7286,0.00310,ru74.242
HD160691,2453508.15116,16.27,1.58,UCLES,,,0.7292,0.00300,ru74.243
HD160691,2453508.30926,15.40,1.18,UCLES,,,,,ru74.279
HD160691,2453508.31348,15.32,1.10,UCLES,,,0.7325,0.00180,ru74.280
HD160691,2453508.31773,18.84,1.06,UCLES,,,0.7307,0.00200,ru74.281
HD160691,2453509.00432,20.47,1.14,UCLES,,,0.7347,0.00180,ru74.372
HD160691,2453509.00739,18.91,1.07,UCLES,,,0.7332,0.00180,ru74.373
HD160691,2453509.01046,18.09,1.10,UCLES,,,,,ru74.374
HD160691,2453509.01353,17.92,1.12,UCLES,,,0.7341,0.00190,ru74.375
HD160691,2453509.32135,16.77,1.04,UCLES,,,0.7373,0.00160,ru74.432
HD160691,2453509.32558,17.50,0.99,UCLES,,,0.7353,0.00160,ru74.433
HD160691,2453509.32980,18.12,0.99,UCLES,,,0.7362,0.00160,ru74.434
HD160691,2453510.05082,20.52,1.34,UCLES,,,0.7335,0.00200,ru74.556
HD160691,2453510.05505,17.40,1.17,UCLES,,,0.7329,0.00190,ru74.557
HD160691,2453510.05928,16.64,1.12,UCLES,,,0.7335,0.00170,ru74.558
HD160691,2453510.32224,17.22,1.06,UCLES,,,0.7343,0.00170,ru74.598
HD160691,2453510.32646,16.21,1.15,UCLES,,,0.7324,0.00180,ru74.599
HD160691,2453510.33069,19.26,1.07,UCLES,,,0.7341,0.00170,ru74.600
HD160691,2453516.13734,22.42,1.45,UCLES,,,0.7292,0.00260,ru75.84
HD160691,2453516.14331,23.61,1.49,UCLES,,,0.7320,0.00260,ru75.85
HD160691,2453516.14928,20.57,1.45,UCLES,,,0.7342,0.00260,ru75.86
HD160691,2453516.15524,24.02,1.52,UCLES,,,0.7298,0.00260,ru75.87
HD160691,2453517.16915,18.65,1.37,UCLES,,,0.7282,0.00250,ru75.253
HD160691,2453517.17340,17.83,1.41,UCLES,,,0.7310,0.00250,ru75.254
HD160691,2453517.17762,20.55,1.44,UCLES,,,0.7313,0.00250,ru75.255
HD160691,2453517.18186,16.60,1.65,UCLES,,,0.7299,0.00290,ru75.256
HD160691,2453519.06890,22.05,2.16,UCLES,,,0.7310,0.00370,ru75.524
HD160691,2453519.07315,14.07,2.13,UCLES,,,0.7253,0.00400,ru75.525
HD160691,2453519.07737,12.41,2.43,UCLES,,,0.7317,0.00420,ru75.526
HD160691,2453519.08161,11.83,2.15,UCLES,,,,,ru75.527
HD160691,2453519.08584,11.11,2.24,UCLES,,,0.7296,0.00400,ru75.528
HD160691,2453519.09008,15.66,2.17,UCLES,,,,,ru75.529
HD160691,2453519.09431,15.93,2.19,UCLES,,,0.7253,0.00390,ru75.530
HD160691,2453519.09855,19.36,2.04,UCLES,,,0.7297,0.00370,ru75.531
HD160691,2453519.10279,20.21,2.14,UCLES,,,,,ru75.532
HD160691,2453519.11125,18.72,1.84,UCLES,,,0.7306,0.00310,ru75.534
HD160691,2453519.11550,16.62,1.85,UCLES,,,0.7301,0.00360,ru75.535
HD160691,2453520.21471,18.33,1.23,UCLES,,,0.7314,0.00210,ru75.693
HD160691,2453520.21779,18.30,1.23,UCLES,,,0.7333,0.00210,ru75.694
HD160691,2453520.22087,16.11,1.29,UCLES,,,0.7342,0.00210,ru75.695
HD160691,2453521.20940,17.95,1.14,UCLES,,,0.7342,0.00160,ru75.858
HD160691,2453521.21364,15.94,1.08,UCLES,,,,,ru75.859
HD160691,2453522.05689,15.18,3.76,UCLES,,,,,ru75.1010
HD160691,2453522.06285,19.41,2.74,UCLES,,,0.7271,0.00490,ru75.1011
HD160691,2453522.06881,11.99,3.01,UCLES,,,0.7250,0.00530,ru75.1012
HD160691,2453522.07477,12.10,2.80,UCLES,,,0.7259,0.00460,ru75.1013
HD160691,2453522.08073,22.21,2.38,UCLES,,,0.7233,0.00450,ru75.1014
HD160691,2453522.08669,18.81,2.34,UCLES,,,0.7311,0.00420,ru75.1015
HD160691,2453522.09265,20.47,2.21,UCLES,,,0.7289,0.00390,ru75.1016
HD160691,2453522.09861,17.53,2.49,UCLES,,,0.7281,0.00430,ru75.1017
HD160691,2453522.10457,20.97,3.01,UCLES,,,0.7291,0.00510,ru75.1018
HD160691,2453522.11055,12.16,3.20,UCLES,,,0.7241,0.00560,ru75.1019
HD160691,2453522.11649,16.41,2.30,UCLES,,,0.7303,0.00420,ru75.1020
HD160691,2453522.12246,20.74,1.67,UCLES,,,0.7295,0.00310,ru75.1021
HD160691,2453522.12842,16.61,1.56,UCLES,,,0.7303,0.00270,ru75.1022
HD160691,2453522.13438,17.78,1.26,UCLES,,,0.7315,0.00210,ru75.1023
HD160691,2453522.14034,19.56,1.23,UCLES,,,0.7328,0.00180,ru75.1024
HD160691,2453523.14400,23.56,0.98,UCLES,,,0.7348,0.00160,ru75.1208
HD160691,2453523.14823,21.94,1.10,UCLES,,,0.7340,0.00150,ru75.1209
HD160691,2453567.95332,15.66,2.22,UCLES,,,0.7247,0.00420,ru76.58
HD160691,2453567.97748,17.19,1.24,UCLES,,,,,ru76.59
HD160691,2453567.98089,20.85,1.23,UCLES,,,0.7315,0.00200,ru76.60
HD160691,2453567.98397,14.58,1.23,UCLES,,,0.7304,0.00210,ru76.61
HD160691,2453567.98705,16.68,1.33,UCLES,,,0.7287,0.00230,ru76.62
HD160691,2453567.99012,18.40,1.25,UCLES,,,0.7351,0.00210,ru76.63
HD160691,2453569.04541,17.29,1.23,UCLES,,,0.7297,0.00240,ru76.264
HD160691,2453569.04848,19.56,1.23,UCLES,,,0.7264,0.00230,ru76.265
HD160691,2453569.05155,15.61,1.32,UCLES,,,0.7313,0.00230,ru76.266
HD160691,2453569.05461,20.84,1.31,UCLES,,,0.7306,0.00230,ru76.267
HD160691,2453569.05769,16.62,1.28,UCLES,,,0.7335,0.00220,ru76.268
HD160691,2453570.05083,17.47,1.31,UCLES,,,0.7317,0.00210,ru76.581
HD160691,2453570.05853,15.50,1.16,UCLES,,,,,ru76.582
HD160691,2453570.06623,16.91,1.19,UCLES,,,0.7339,0.00170,ru76.583
HD160691,2453570.07393,17.31,1.09,UCLES,,,0.7294,0.00180,ru76.584
HD160691,2453571.06504,22.37,1.31,UCLES,,,0.7309,0.00230,ru76.872
HD160691,2453571.06754,22.92,1.42,UCLES,,,0.7316,0.00240,ru76.873
HD160691,2453571.07004,21.99,1.32,UCLES,,,0.7278,0.00260,ru76.874
HD160691,2453571.07254,24.99,1.36,UCLES,,,0.7323,0.00250,ru76.875
HD160691,2453571.07503,22.55,1.55,UCLES,,,0.7313,0.00270,ru76.876
HD160691,2453572.08754,26.44,1.29,UCLES,,,0.7302,0.00230,ru76.1186
HD160691,2453572.09060,17.43,1.36,UCLES,,,0.7303,0.00230,ru76.1187
HD160691,2453572.09367,22.27,1.43,UCLES,,,,,ru76.1188
HD160691,2453572.09674,24.51,1.28,UCLES,,,0.7306,0.00240,ru76.1189
HD160691,2453573.01672,25.44,1.19,UCLES,,,0.7305,0.00230,ru76.1466
HD160691,2453573.01980,21.90,1.26,UCLES,,,,,ru76.1467
HD160691,2453573.02287,24.24,1.21,UCLES,,,0.7313,0.00240,ru76.1468
HD160691,2453573.02594,25.35,1.32,UCLES,,,0.7299,0.00240,ru76.1469
HD160691,2453574.05690,26.95,1.27,UCLES,,,0.7331,0.00220,ru76.1821
HD160691,2453574.05997,24.45,1.13,UCLES,,,0.7296,0.00210,ru76.1822
HD160691,2453574.06305,24.85,1.12,UCLES,,,0.7282,0.00210,ru76.1823
HD160691,2453574.06613,21.85,1.23,UCLES,,,0.7291,0.00210,ru76.1824
HD160691,2453576.00119,23.46,1.15,UCLES,,,0.7315,0.00200,ru76.2184
HD160691,2453576.00426,21.23,1.19,UCLES,,,0.7348,0.00200,ru76.2185
HD160691,2453576.00734,22.53,1.17,UCLES,,,0.7325,0.00190,ru76.2186
HD160691,2453576.01041,16.51,1.12,UCLES,,,,,ru76.2187
HD160691,2453576.99772,20.54,1.06,UCLES,,,0.7329,0.00180,ru76.2487
HD160691,2453577.00080,19.68,1.06,UCLES,,,0.7357,0.00180,ru76.2488
HD160691,2453577.00389,17.81,1.10,UCLES,,,0.7314,0.00180,ru76.2489
HD160691,2453577.00697,19.96,1.03,UCLES,,,0.7341,0.00180,ru76.2490
HD160691,2453578.97421,17.00,1.08,UCLES,,,0.7345,0.00190,ru76.2978
HD160691,2453578.97728,19.12,1.13,UCLES,,,,,ru76.2979
HD160691,2453578.98035,20.19,1.12,UCLES,,,0.7304,0.00200,ru76.2980
HD160691,2453578.98342,16.67,1.12,UCLES,,,0.7322,0.00190,ru76.2981
HD160691,2453625.99558,9.93,1.91,UCLES,,,0.7318,0.00390,ru77.2454
HD160691,2453625.99902,8.30,1.31,UCLES,,,0.7320,0.00270,ru77.2455
HD160691,2453626.00330,7.72,1.27,UCLES,,,0.7331,0.00260,ru77.2456
HD160691,2453626.00756,11.01,1.29,UCLES,,,0.7329,0.00270,ru77.2457
HD160691,2453626.04538,-1.04,1.45,UCLES,,,0.7305,0.00320,ru77.2462
HD160691,2453626.04962,5.76,1.64,UCLES,,,0.7310,0.00340,ru77.2463
HD160691,2453626.05388,7.11,1.49,UCLES,,,0.7346,0.00300,ru77.2464
HD160691,2453626.05816,9.61,1.68,UCLES,,,0.7325,0.00330,ru77.2465
HD160691,2453627.89151,4.24,1.70,UCLES,,,0.7216,0.00820,ru77.2625
HD160691,2453627.89404,11.71,1.82,UCLES,,,,,ru77.2626
HD160691,2453627.89656,6.65,1.62,UCLES,,,0.7177,0.00840,ru77.2627
HD160691,2453627.89909,10.52,1.57,UCLES,,,0.7111,0.00830,ru77.2628
HD160691,2453628.92399,7.57,1.35,UCLES,,,0.7340,0.00280,ru77.2868
HD160691,2453628.92652,10.05,1.21,UCLES,,,0.7314,0.00280,ru77.2869
HD160691,2453628.92905,12.17,1.18,UCLES,,,0.7351,0.00280,ru77.2870
HD160691,2453628.93160,13.36,1.26,UCLES,,,,,ru77.2871
HD160691,2453628.93413,12.03,1.22,UCLES,,,,,ru77.2872
HD160691,2453631.85036,12.24,1.25,UCLES,,,0.7267,0.00290,ru77.3255
HD160691,2453631.85462,13.49,1.36,UCLES,,,,,ru77.3256
HD160691,2453631.85889,13.34,1.08,UCLES,,,0.7319,0.00240,ru77.3257
HD160691,2453631.86317,11.13,1.13,UCLES,,,0.7336,0.00220,ru77.3258
HD160691,2453631.86746,13.03,1.07,UCLES,,,0.7332,0.00250,ru77.3259
HD160691,2453631.87174,13.50,1.11,UCLES,,,0.7346,0.00220,ru77.3260
HD160691,2453664.88420,8.77,1.16,UCLES,,,0.7330,0.00190,ru78.35
HD160691,2453664.88845,10.18,1.08,UCLES,,,0.7335,0.00190,ru78.36
HD160691,2453664.89271,8.04,1.07,UCLES,,,0.7338,0.00190,ru78.37
HD160691,2453664.89698,9.31,1.06,UCLES,,,0.7321,0.00180,ru78.38
HD160691,2453665.89583,11.82,1.24,UCLES,,,,,ru78.252
