tel	time	mnvel	errvel
HIRES-pre	2452445.817188	-38.75	1.303604
HIRES-pre	2452654.163125	19.29	1.491949
HIRES-pre	2452683.014491	27.89	1.497834
HIRES-pre	2452712.038819	26.26	1.604432
HIRES-pre	2452776.921736	9.53	1.425656
HIRES-pre	2452806.735231	11.01	1.485542
HIRES-pre	2452834.761458	-13.53	1.480966
HIRES-pre	2452850.743553	-21.88	1.334231
HIRES-pre	2453071.941713	3.63	1.407235
HIRES-pre	2453153.837095	24.61	1.37018
HIRES-pre	2453180.874201	23.14	1.489333
HIRES-pre	2453195.785706	25.24	1.420628
HIRES-post	2453239.737998	29.02	1.153437
HIRES-post	2453399.097743	-21.64	0.993163
HIRES-post	2453399.099931	-25.26	0.953085
HIRES-post	2453725.168611	27.03	1.052393
HIRES-post	2453753.163773	24.32	0.941025
HIRES-post	2453933.833229	-29.32	0.896448
HIRES-post	2453933.836574	-28.59	0.937525
HIRES-post	2453961.735856	-20.38	0.93525
HIRES-post	2453961.739352	-19.13	1.001359
HIRES-post	2453981.720509	-17.37	0.958998
HIRES-post	2453981.723183	-16.81	1.027825
HIRES-post	2453981.72588	-14.74	1.013848
HIRES-post	2454130.117882	25.82	1.03514
HIRES-post	2454130.119873	25.89	0.9834
HIRES-post	2454131.146007	22.69	1.117575
HIRES-post	2454131.149062	19.6	1.147338
HIRES-post	2454139.114757	22.19	0.950855
HIRES-post	2454139.116563	22.53	0.976165
HIRES-post	2454255.776042	21.68	1.06885
HIRES-post	2454255.777338	23.97	1.034703
HIRES-post	2454277.751933	9.73	0.843053
HIRES-post	2454307.824734	-9.16	0.839864
HIRES-post	2454343.724826	-17.23	1.105435
HIRES-post	2454455.12103	-26.98	1.081989
HIRES-post	2454456.162512	-23.87	1.07237
HIRES-post	2454493.108831	-11.71	1.06686
HIRES-post	2454545.026921	6.88	1.155118
HIRES-post	2454547.98191	6.96	1.311241
HIRES-post	2454548.993148	1.63	1.323232
HIRES-post	2454602.799144	20.04	1.064325
HIRES-post	2454603.802025	18.77	1.039433
HIRES-post	2454633.792639	22.18	1.013338
HIRES-post	2454634.780428	20.35	1.042869
HIRES-post	2454635.787176	26.4	1.000223
HIRES-post	2454636.764097	21.0	1.001897
HIRES-post	2454637.76706	25.28	0.911847
HIRES-post	2454638.805938	20.4	0.959725
HIRES-post	2454639.790301	19.6	0.962464
HIRES-post	2454640.847535	22.15	1.178342
HIRES-post	2454641.775602	18.83	0.89522
HIRES-post	2454643.765799	15.14	0.941251
HIRES-post	2454667.817569	18.4	0.949762
HIRES-post	2454671.840127	23.18	0.861497
HIRES-post	2454671.843333	22.32	0.954489
HIRES-post	2454675.804803	22.93	1.138839
HIRES-post	2454675.812373	18.91	1.344077
HIRES-post	2454675.819352	18.58	1.246429
HIRES-post	2454688.743183	21.22	1.1357
HIRES-post	2454689.740185	18.43	1.165444
HIRES-post	2454822.136574	-19.76	0.929683
HIRES-post	2454873.126413	-37.58	1.144635
HIRES-post	2454927.981799	-32.77	1.168772
HIRES-post	2454934.906144	-29.5	1.132749
HIRES-post	2454956.982284	-27.75	1.302751
HIRES-post	2454986.820781	-18.89	1.161405
HIRES-post	2454987.915311	-18.84	1.208469
HIRES-post	2454988.788978	-18.31	1.157318
HIRES-post	2455015.824571	-12.3	0.956386
HIRES-post	2455173.136628	13.22	1.134628
HIRES-post	2455312.797283	-29.18	0.997851
HIRES-post	2455314.860737	-27.07	1.125775
HIRES-post	2455320.802346	-26.35	1.060251
HIRES-post	2455339.980651	-34.86	1.072273
HIRES-post	2455371.876341	-42.38	0.812031
HIRES-post	2455371.87957	-44.04	0.859504
HIRES-post	2455373.750193	-41.62	0.881893
HIRES-post	2455407.771247	-42.15	1.010708
HIRES-post	2455546.159772	-4.76	1.060667
HIRES-post	2455580.054322	2.12	1.042055
HIRES-post	2455585.155899	4.69	1.003215
HIRES-post	2455606.040048	2.83	1.118311
HIRES-post	2455634.069932	10.85	1.196558
HIRES-post	2455637.933886	13.15	1.024137
HIRES-post	2455667.993837	14.24	0.97891
HIRES-post	2455700.779621	12.34	1.162862
HIRES-post	2455733.793609	-0.88	0.950879
HIRES-post	2455750.816092	-10.24	0.955114
HIRES-post	2455789.746961	-24.27	1.177626
HIRES-post	2455912.126863	-40.56	0.920606
HIRES-post	2455971.029146	-35.84	1.03333
HIRES-post	2455973.105378	-34.77	1.155155
HIRES-post	2455991.942264	-25.2	1.310397
HIRES-post	2456024.834382	-11.1	1.187942
HIRES-post	2456073.802226	1.45	1.110568
HIRES-post	2456113.758435	5.53	1.051841
HIRES-post	2456319.003558	-32.91	1.393666
HIRES-post	2456451.817596	-27.93	1.082548
HIRES-post	2456641.135405	21.48	1.037534
HIRES-post	2456709.002026	12.6	1.131752
HIRES-post	2456710.016659	12.87	1.138873
HIRES-post	2456828.76337	-34.96	0.956517
HIRES-post	2457057.994377	15.48	1.182373
HIRES-post	2457150.979487	29.9	1.118554
HIRES-post	2457216.813629	8.6	1.022291
HIRES-post	2457229.736209	8.07	0.947256
HIRES-post	2457584.737687	18.94	1.110955
HIRES-post	2457584.741437	19.23	1.102297
HIRES-post	2457925.741962	-14.33	1.001621
HIRES-post	2457932.740643	-11.1	1.035828
HIRES-post	2458000.708998	8.61	1.538084
HIRES-post	2458295.800412	-24.86	1.038171
HIRES-post	2458492.132017	7.83	0.971782
HIRES-post	2458615.932056	29.21	1.314938
HIRES-post	2458651.739157	25.67	1.098517
HIRES-post	2458833.166341	-30.71	1.131276
HARPS-pre	2453050.837826	-2.970131	0.878924
HARPS-pre	2453167.4428595	23.219036	3.464772
HARPS-pre	2453167.4439313	25.642083	3.101421
HARPS-pre	2453167.4449892	22.823322	3.321844
HARPS-pre	2453167.4460467	20.116149	3.286307
HARPS-pre	2453167.4470952	25.618868	2.896811
HARPS-pre	2453167.4481543	31.163243	3.054042
HARPS-pre	2453167.4492087	25.454435	3.290866
HARPS-pre	2453167.4502865	22.248319	2.566874
HARPS-pre	2453167.4513322	27.19061	2.814699
HARPS-pre	2453167.4523927	21.86469	3.387917
HARPS-pre	2453167.4534488	28.33787	3.488875
HARPS-pre	2453167.4544988	21.456599	4.327474
HARPS-pre	2453167.4555594	26.695456	3.513728
HARPS-pre	2453167.4565999	21.227141	3.422899
HARPS-pre	2453167.4576547	19.980421	4.32157
HARPS-pre	2453167.4587358	25.3518	3.875723
HARPS-pre	2453167.4597962	26.169334	3.328012
HARPS-pre	2453167.46083	27.037101	3.20855
HARPS-pre	2453167.4618907	27.752659	2.826357
HARPS-pre	2453167.4629616	21.618478	2.945855
HARPS-pre	2453167.4639986	17.936483	3.307484
HARPS-pre	2453167.465062	24.743276	3.248967
HARPS-pre	2453167.4660939	23.393337	3.025622
HARPS-pre	2453167.4671651	24.515744	3.147762
HARPS-pre	2453167.4682414	25.658068	2.964431
HARPS-pre	2453167.4692949	22.681292	2.96543
HARPS-pre	2453167.4703147	26.330928	2.926199
HARPS-pre	2453167.4713924	20.689938	2.745514
HARPS-pre	2453167.4724313	26.70578	2.467352
HARPS-pre	2453167.4734917	28.505624	2.493138
HARPS-pre	2453167.4745483	24.415464	2.41001
HARPS-pre	2453167.4756086	27.920501	2.424613
HARPS-pre	2453167.4766702	22.242719	2.391501
HARPS-pre	2453167.4777151	22.999615	2.483397
HARPS-pre	2453167.4787531	21.860978	2.505478
HARPS-pre	2453167.4798136	22.121804	2.343028
HARPS-pre	2453167.4808759	28.311693	2.380078
HARPS-pre	2453167.481918	26.165528	2.381177
HARPS-pre	2453167.483004	20.764668	2.546776
HARPS-pre	2453167.4840396	24.815325	2.562353
HARPS-pre	2453167.4851097	24.295375	2.477397
HARPS-pre	2453167.4861595	21.228523	2.31645
HARPS-pre	2453167.4872024	25.365712	2.215803
HARPS-pre	2453167.4882537	26.758643	2.349416
HARPS-pre	2453167.4893275	22.092053	2.117064
HARPS-pre	2453167.4903894	25.596753	2.113924
HARPS-pre	2453167.4914476	26.819762	2.138879
HARPS-pre	2453167.49248	27.092116	2.080698
HARPS-pre	2453167.4935461	27.240398	2.100951
HARPS-pre	2453167.4945959	25.309177	2.061607
HARPS-pre	2453167.4956553	26.410547	2.12915
HARPS-pre	2453202.5396483	24.648725	0.913431
HARPS-pre	2453203.5095083	24.532194	0.892622
HARPS-pre	2453205.4911169	23.75786	0.899509
HARPS-pre	2453217.48955	29.265906	0.908139
HARPS-pre	2453218.5214823	30.554077	0.916556
HARPS-pre	2453400.869762	-30.600707	0.805098
HARPS-pre	2453402.8113654	-32.783477	0.814914
HARPS-pre	2453403.7888978	-32.267332	0.889223
HARPS-pre	2453405.9008386	-30.081145	0.887117
HARPS-pre	2453406.8747403	-30.156632	0.824708
HARPS-pre	2453408.8836511	-31.379949	0.895387
HARPS-pre	2453409.799409	-34.213659	0.765805
HARPS-pre	2453410.8483468	-31.233693	0.918931
HARPS-pre	2453411.8710665	-31.018063	0.914537
HARPS-pre	2453412.877148	-30.677041	0.762502
HARPS-pre	2456700.7766593	9.704308	0.502618
HARPS-pre	2456702.7740658	11.37281	0.633014
HARPS-pre	2456703.8052494	6.726891	0.56497
HARPS-pre	2456704.800644	7.394533	0.566138
HARPS-pre	2456737.8328766	-2.257097	0.926219
HARPS-pre	2456740.6864856	-3.794741	0.705854
HARPS-pre	2456744.8541243	-5.465697	0.635132
HARPS-pre	2456756.7374235	-9.539716	0.741463
HARPS-pre	2456758.7167519	-11.350885	0.757969
HARPS-pre	2456760.6970657	-12.512674	0.553496
HARPS-pre	2456808.6553926	-30.404224	0.967749
HARPS-pre	2456811.6289799	-30.595422	0.929503
HARPS-pre	2457050.8663692	5.146869	0.873775
HARPS-pre	2457079.7869623	12.337786	0.746617
HARPS-pre	2457082.8543277	14.023791	0.856102
HARPS-pre	2457101.8233967	20.051879	0.8954
HARPS-pre	2457137.6631568	22.24049	0.745469
HARPS-pre	2457141.5841751	18.509213	0.754333
HARPS-pre	2457147.7507961	21.97156	0.959105
HARPS-post	2457201.5077713	16.583061	0.738186
HARPS-post	2457204.573215	17.76788	0.808547
HARPS-post	2457462.6802908	-8.163095	0.526942
HARPS-post	2457465.6696082	-7.214806	0.505704
